#num-states,num-transitions,type-size,probability-indeterminate,min-dfa-state-count,min-dfa-transitions-count,count-indeterminate-transitions,inhabited-dfa-language
10,10,3,0.33934508955104753,10,9,2,:indeterminate
10,13,4,0.09194240764545365,10,12,1,:satisfiable
10,14,4,0.4222330404686356,10,12,10,:indeterminate
10,15,2,0.3233118846845295,10,12,6,:satisfiable
10,16,3,0.5213694176665798,10,13,7,:indeterminate
10,18,3,0.2930349502706328,10,14,5,:indeterminate
10,19,2,0.14762612191639593,10,15,3,:indeterminate
10,19,3,0.22236319006983982,10,15,3,:satisfiable
10,19,3,0.3503272653464635,10,13,4,:indeterminate
10,19,3,0.36121334532508237,10,14,7,:indeterminate
10,20,4,0.3185016778609325,10,15,6,:satisfiable
10,21,2,0.37001152171572566,10,17,6,:satisfiable
10,21,2,0.3720005055749735,10,16,7,:indeterminate
10,21,4,0.31169098074392704,10,17,5,:indeterminate
10,23,4,0.3993770516817361,10,15,8,:indeterminate
10,25,3,0.5066510817859965,10,17,7,:indeterminate
10,28,3,0.48116637827575204,10,21,13,:indeterminate
11,11,3,0.39721140527461646,11,10,3,:indeterminate
11,12,3,0.3616990798692526,11,11,5,:indeterminate
11,13,2,0.2865532301586477,11,12,6,:indeterminate
11,14,3,0.4877082135818787,11,12,5,:indeterminate
11,14,4,0.2963323226603444,11,12,6,:indeterminate
11,15,3,0.16708235766692262,11,13,4,:indeterminate
11,15,3,0.1869757537757969,11,12,5,:indeterminate
11,16,2,0.15121188311674416,11,15,2,:indeterminate
11,16,2,0.24622399831160968,11,13,3,:indeterminate
11,16,2,0.5325998453158751,11,14,11,:indeterminate
11,16,3,0.4466031392272242,11,15,13,:indeterminate
11,17,3,0.3888482818757464,11,12,7,:indeterminate
11,17,4,0.30182242498236916,11,15,2,:indeterminate
11,18,3,0.2936643562217807,11,12,2,:indeterminate
11,19,2,0.3691363860621519,11,15,9,:indeterminate
11,19,3,0.3047090886268738,11,15,5,:indeterminate
11,20,2,0.23811773750745224,11,19,6,:indeterminate
11,20,4,0.30799749660300374,11,15,5,:indeterminate
11,20,4,0.4415451468781146,11,19,13,:indeterminate
11,20,4,0.4940672849926829,11,14,5,:indeterminate
11,21,2,0.32882970531597167,11,16,5,:indeterminate
11,23,2,0.019191871784561127,11,17,0,:satisfiable
11,23,3,0.48831873215845584,11,19,11,:indeterminate
11,24,3,0.26927499442015373,11,16,1,:satisfiable
11,24,3,0.4077683938057164,11,19,9,:indeterminate
11,24,3,0.5877097509378365,11,20,10,:indeterminate
11,24,4,0.1038859568200654,11,16,5,:indeterminate
11,24,4,0.1105438044805918,11,19,4,:satisfiable
11,25,2,0.17447557461056562,11,19,3,:indeterminate
11,26,2,0.6547481720727052,11,15,10,:indeterminate
11,26,3,0.08615415602881349,11,19,2,:satisfiable
11,26,4,0.4302696997538888,11,17,6,:indeterminate
